hanzi,pinyin,meaning_de,radicals,tags
口语,kǒuyǔ,Umgangssprache,口,HSK1
块(钱),kuài (qián),Yuan (ugs.),土,HSK1
快,kuài,schnell,忄,HSK1
快乐,kuàilè,fröhlich,忄,HSK1
来,lái,kommen,木,HSK1
老,lǎo,alt,老,HSK1
老板,lǎobǎn,Chef,老,HSK1
老师,lǎoshī,Lehrer,老,HSK1
离,lí,entfernt von,离,HSK1
里,lǐ,in/innen,里,HSK1
力,lì,Kraft,力,HSK1
两,liǎng,zwei,両,HSK1
零,líng,null,零,HSK1
六,liù,sechs,六,HSK1
妈妈,māmā,Mutter,女,HSK1
吗,ma,Fragepartikel,口,HSK1
买,mǎi,kaufen,贝,HSK1
卖,mài,verkaufen,贝,HSK1
忙,máng,beschäftigt,忄,HSK1
猫,māo,Katze,犭,HSK1
没关系,méi guānxi,Das macht nichts,氵,HSK1
名字,míngzi,Name,夕,HSK1
明天,míngtiān,morgen,日,HSK1
哪,nǎ,welche/r/s,口,HSK1
哪儿,nǎr,wo,口,HSK1
哪里,nǎli,wo,口,HSK1
那,nà,jener/das,那,HSK1
男人,nánrén,Mann,口,HSK1
难,nán,schwer,又,HSK1
奶牛,niúnǎi,Kuh/Milch (Kontext),牛,HSK1
女孩,nǚhái,Mädchen,女,HSK1
女儿,nǚ'ér,Tochter,女,HSK1
朋友,péngyou,Freund,月,HSK1
便宜,piányi,billig,亻,HSK1
票,piào,Ticket,示,HSK1
起床,qǐchuáng,aufstehen,走,HSK1
汽车,qìchē,Auto,车,HSK1
前,qián,vorn,前,HSK1
前边,qiánbian,vorderseite,前,HSK1
钱,qián,Geld,钅,HSK1
巧克力,qiǎokèlì,Schokolade,米,HSK1
请,qǐng,bitten/fragen,讠,HSK1
请问,qǐngwèn,Darf ich fragen?,讠,HSK1
秋天,qiūtiān,Herbst,禾,HSK1
去,qù,gehen,口,HSK1
全,quán,gesamt,人,HSK1
全身,quánshēn,ganzer Körper,身,HSK1
让,ràng,lassen; erlauben,言,HSK1
热,rè,heiß,热,HSK1
人,rén,Mensch,人,HSK1
认识,rènshi,kennen; kennenlernen,讠,HSK1
日,rì,Tag; Sonne,日,HSK1
商店,shāngdiàn,Geschäft,阝,HSK1
上,shàng,oben; vorhergehend,上,HSK1
上海,Shànghǎi,Shanghai,氵,HSK1
上课,shàngkè,Unterricht haben,上,HSK1
上网,shàngwǎng,ins Internet gehen,网,HSK1
上午,shàngwǔ,Vormittag,午,HSK1
少,shǎo,wenig,小,HSK1
身体,shēntǐ,Körper,身,HSK1
什么,shénme,was,什,HSK1
生日,shēngrì,Geburtstag,生,HSK1
圣诞节,Shèngdàn Jié,Weihnachten,示,HSK1
时候,shíhou,Zeit; Moment,日,HSK1
时间,shíjiān,Zeit,日,HSK1
食堂,shítáng,Mensa,食,HSK1
是,shì,sein,日,HSK1
事儿,shìr,Sache/Angelegenheit,事,HSK1
手机,shǒujī,Handy,手,HSK1
售货员,shòuhuòyuán,Verkäufer/in,人,HSK1
书,shū,Buch,书,HSK1
舒服,shūfu,bequem,衣,HSK1
树,shù,Baum,木,HSK1
刷卡,shuākǎ,per Karte zahlen,手,HSK1
谁,shéi,wer,谁,HSK1
水,shuǐ,Wasser,氵,HSK1
睡,shuì,schlafen,目,HSK1
睡觉,shuìjiào,schlafen,目,HSK1
说,shuō,sagen,讠,HSK1
宋华,Sòng Huá,Song Hua (Name),人,HSK1
送,sòng,schenken/bringen,辵,HSK1
宿舍,sùshè,Wohnheim,宀,HSK1
岁,suì,Alter/Jahr,岁,HSK1
他,tā,er,他,HSK1
她,tā,sie,她,HSK1
太,tài,zu; äußerst,大,HSK1
特别,tèbié,besonders,犬,HSK1
疼,téng,schmerzen,疒,HSK1
体温,tǐwēn,Körpertemperatur,月,HSK1
体育,tǐyù,Sport,亻,HSK1
体育馆,tǐyùguǎn,Sporthalle,馆,HSK1
天,tiān,Tag/Himmel,天,HSK1
天安门,Tiān'ān Mén,Tor des Himmlischen Friedens,门,HSK1
天气,tiānqì,Wetter,天,HSK1
条,tiáo,ZEW für lange/dünne Dinge,木,HSK1
外婆,wàipó,Großmutter mütterlicherseits,女,HSK1
晚,wǎn,spät/Abend,日,HSK1
晚上,wǎnshang,Abend,日,HSK1
王府井,Wángfǔjǐng,Wangfujing (Straße),王,HSK1
王小云,Wáng Xiǎoyún,Name,王,HSK1
网,wǎng,Netz/Internet,网,HSK1
为什么,wèishénme,warum,为,HSK1
喂,wèi,Hallo! (Telefon),口,HSK1
文学,wénxué,Literatur,文,HSK1
问,wèn,fragen,门,HSK1
问题,wèntí,Frage/Problem,门,HSK1
我,wǒ,ich,我,HSK1
舞,wǔ,Tanz,舛,HSK1
西,xī,Westen,西,HSK1
西边,xībian,Westen; westlich,西,HSK1
西方,Xīfāng,der Westen,西,HSK1
喜欢,xǐhuan,mögen,口,HSK1
下,xià,unten; nächste/r/s,下,HSK1
下午,xiàwǔ,Nachmittag,午,HSK1
下雪,xià xuě,schneien,雨,HSK1
下雨,xià yǔ,regnen,雨,HSK1
夏天,xiàtiān,Sommer,大,HSK1
先,xiān,zuerst/vorher,先,HSK1
先生,xiānsheng,Herr/Mann,先,HSK1
现在,xiànzài,jetzt,见,HSK1
线,xiàn,Linie,纟,HSK1
想,xiǎng,denken; vermissen,心,HSK1
响,xiǎng,klingen; laut sein,口,HSK1
想念,xiǎngniàn,vermissen,心,HSK1
小姐,xiǎojiě,Fräulein/junge Frau,女,HSK1
校门,xiàomén,Schultor,校,HSK1
些,xiē,einige,二,HSK1
写,xiě,schreiben,冖,HSK1
血,xiě,Blut,血,HSK1
新,xīn,neu,斤,HSK1
谢谢,xièxie,danke,讠,HSK1
学生,xuésheng,Schüler/Student,子,HSK1
学习,xuéxí,lernen,子,HSK1
学校,xuéxiào,Schule,子,HSK1
雪,xuě,Schnee,雨,HSK1
眼睛,yǎnjing,Auge,目,HSK1
牙,yá,Zahn,牙,HSK1
音乐会,yīnyuèhuì,Konzert,音,HSK1
英语,Yīngyǔ,Englisch,讠,HSK1
银行,yínháng,Bank,钅,HSK1
运动,yùndòng,Sport/Bewegung,辵,HSK1
再,zài,nochmals/wieder,再,HSK1
再见,zàijiàn,Auf Wiedersehen,见,HSK1
在,zài,sein; sich befinden,在,HSK1
咱们,zánmen,wir (inkl. Zuhörer),口,HSK1
早,zǎo,früh/Morgen,日,HSK1
早上,zǎoshang,Morgen/Vormittag,日,HSK1
怎么,zěnme,wie; wieso,怎,HSK1
怎么样,zěnmeyàng,wie ist ...?,怎,HSK1
展览,zhǎnlǎn,Ausstellung,厂,HSK1
张,zhāng,ZEW flache Gegenstände,弓,HSK1
找,zhǎo,finden/suchen,扌,HSK1
照片,zhàopiàn,Foto,日,HSK1
这,zhè,dies (hier),这,HSK1
起床,qǐchuáng,aufstehen,走,HSK1
起,qǐ,aufstehen (kurz),走,HSK1
钱,qián,Geld,钅,HSK1
前,qián,vorn,前,HSK1
前天,qiántiān,vorgestern,日,HSK1
去,qù,gehen,去,HSK1
请,qǐng,bitten/fragen,讠,HSK1
请问,qǐngwèn,Darf ich fragen?,讠,HSK1
晴天,qíngtiān,sonniger Tag,日,HSK1
全,quán,gesamt,人,HSK1
全部,quánbù,komplett,全,HSK1
让,ràng,erlauben/lassen,讠,HSK1
热,rè,heiß,热,HSK1
认识,rènshi,kennen/kennenlernen,讠,HSK1
人,rén,Person,人,HSK1
如果,rúguǒ,wenn,氵,HSK1
三,sān,drei,三,HSK1
三天,sān tiān,drei Tage,三,HSK1
上网,shàngwǎng,ins Internet gehen,网,HSK1
上课,shàngkè,Unterricht haben,上,HSK1
上午,shàngwǔ,Vormittag,午,HSK1
上海,Shànghǎi,Shanghai,氵,HSK1
商店,shāngdiàn,Geschäft,阝,HSK1
少,shǎo,wenig,小,HSK1
身体,shēntǐ,Körper,身,HSK1
什么,shénme,was,什,HSK1
时候,shíhou,Zeit/Moment,日,HSK1
时间,shíjiān,Zeit,日,HSK1
食堂,shítáng,Mensa,食,HSK1
书,shū,Buch,书,HSK1
舒服,shūfu,bequem,衣,HSK1
树,shù,Baum,木,HSK1
水,shuǐ,Wasser,氵,HSK1
水果,shuǐguǒ,Obst/Früchte,木,HSK1
睡觉,shuìjiào,schlafen,目,HSK1
说话,shuōhuà,sprechen,讠,HSK1
岁,suì,Jahre (Alter),岁,HSK1
宿舍,sùshè,Wohnheim,宀,HSK1
送,sòng,schenken/bringen,辵,HSK1
宋华,Sòng Huá,Name,宋,HSK1
手表,shǒubiǎo,Armbanduhr,手,HSK1
手机,shǒujī,Handy,手,HSK1
事情,shìqing,Sache/Angelegenheit,事,HSK1
是,shì,sein,日,HSK1
时间,shíjiān,Zeit,日,HSK1
所有,suǒyǒu,alle (formal),手,HSK1
他,tā,er,他,HSK1
她,tā,sie,她,HSK1
它,tā,es (Dinge),宀,HSK1
太,tài,zu; äußerst,大,HSK1
特别,tèbié,besonders,犬,HSK1
疼,téng,schmerzen,疒,HSK1
体温,tǐwēn,Körpertemperatur,月,HSK1
体育,tǐyù,Sport,亻,HSK1
题,tí,Aufgabe/Frage,页,HSK1
条,tiáo,ZEW lang/dünn,木,HSK1
天气,tiānqì,Wetter,天,HSK1
跳舞,tiàowǔ,tanzen,足,HSK1
跳,tiào,springen,足,HSK1
听,tīng,hören,口,HSK1
听说,tīngshuō,gehört haben,口,HSK1
同学,tóngxué,Kommilitone/Schulfreund,子,HSK1
头,tóu,Kopf,大,HSK1
图书馆,túshūguǎn,Bibliothek,囗,HSK1
外,wài,außen,夕,HSK1
外边,wàibian,draußen/außerhalb,外,HSK1
外婆,wàipó,Großmutter (mütterlich),女,HSK1
晚,wǎn,spät/Abend,日,HSK1
晚上,wǎnshang,Abend,日,HSK1
